Row Labels,Sum of Total Exports Value ($US),,,
2009,29814810900,,,
2010,35368354962,,,
2011,36633938242,,,
2012,36775714986,,,
2013,37267159372,,,
2014,41777569254,,,
2015,40114661912,,,
2016,43543573116,,,
2017,43788055668,,,
2018,44663211746,,,
2019,47196151322,,,
2020,49746010610,,,
2021 through July,34121575850,,,
Pennsylvania,1.30E+12,,,
2002,31491676714,,,
2003,32432302132,,,
2004,37078014968,,,
2005,44667678910,,,
2006,52717056020,,,
2007,58390870928,,,
2008,69297004084,,,
2009,56762204336,,,
2010,69885854474,,,
2011,82206257474,,,
2012,77703830496,,,
2013,82361531862,,,
2014,80821669390,,,
2015,78878712000,,,
2016,72905149672,,,
2017,77280398200,,,
2018,82300392720,,,
2019,85481064992,,,
2020,74797584100,,,
2021 through July,51701699630,,,
Puerto Rico,6.87E+11,,,
2002,19469781832,,,
2003,23890268584,,,
2004,26411227734,,,
2005,26541212194,,,
2006,30425731238,,,
2007,36156568312,,,
2008,39922567106,,,
2009,41874129380,,,
2010,45567034146,,,
2011,36437587502,,,
2012,37379068096,,,
2013,39931692682,,,
2014,40561251616,,,
2015,40358957842,,,
2016,39738967732,,,
2017,31763570650,,,
2018,36187945406,,,
2019,40776011882,,,
2020,33249289494,,,
2021 through July,20697757506,,,
Rhode Island,77207363502,,,
2002,2242091760,,,
2003,2355182110,,,
2004,2577746782,,,
2005,2536909896,,,
2006,3063206334,,,
2007,3297419112,,,
2008,3948863946,,,
2009,2991044894,,,
2010,3897568346,,,
2011,4577122902,,,
2012,4731372180,,,
2013,4328215034,,,
2014,4776958584,,,
2015,4265412482,,,
2016,4556803336,,,
2017,4782882798,,,
2018,4810723752,,,
2019,5350492304,,,
2020,4715614368,,,
2021 through July,3401732582,,,
South Carolina,9.20E+11,,,
2002,19299322708,,,
2003,23571391392,,,
2004,26861498494,,,
2005,27919726930,,,
2006,27239740280,,,
2007,33150911464,,,
2008,39705041042,,,
2009,32976222266,,,
2010,40671290590,,,
2011,49465155050,,,
2012,50230909260,,,
2013,52682314572,,,
2014,59546027412,,,
2015,62042370642,,,
2016,62647140910,,,
2017,64403322842,,,
2018,69253625984,,,
2019,82922898834,,,
2020,60583117820,,,
2021 through July,35046761118,,,
South Dakota,50141684184,,,
2002,1192908162,,,
2003,1344364660,,,
2004,1661122206,,,
2005,1896396844,,,
2006,2383435670,,,
2007,3019752620,,,
2008,3307425308,,,
2009,2021921202,,,
2010,2518810070,,,
2011,2923016240,,,
2012,3114694338,,,
2013,3164306428,,,
2014,3155177290,,,
2015,2841015038,,,
2016,2436147602,,,
2017,2712467826,,,
2018,2859280790,,,
2019,2712272190,,,
2020,2757288260,,,
2021 through July,2119881440,,,
Tennessee,1.02E+12,,,
2002,23257423200,,,
2003,25248865216,,,
2004,32318329918,,,
2005,38347793038,,,
2006,43295279808,,,
2007,43729578226,,,
2008,46475449564,,,
2009,40968599688,,,
2010,51895793406,,,
2011,60032232886,,,
2012,62285960698,,,
2013,64947437180,,,
2014,66501790882,,,
2015,65233697152,,,
2016,62951387462,,,
2017,66466452404,,,
2018,65433785338,,,
2019,62174418712,,,
2020,56229271972,,,
2021 through July,37863133106,,,
Texas,8.54E+12,,,
2002,1.91E+11,,,
2003,1.98E+11,,,
2004,2.35E+11,,,
2005,2.59E+11,,,
2006,3.02E+11,,,
2007,3.36E+11,,,
2008,3.84E+11,,,
2009,3.26E+11,,,
2010,4.14E+11,,,
2011,5.02E+11,,,
2012,5.29E+11,,,
2013,5.55E+11,,,
2014,5.71E+11,,,
2015,4.98E+11,,,
2016,4.63E+11,,,
2017,5.30E+11,,,
2018,6.32E+11,,,
